Business ID,Business Name,Submarket,Timezone,Time Now,Google Link,,Initial Contact Number Scrape
,Congee Village,Manhattan,Eastern Time (ET),10:27:34 PM,https://www.google.com/search?q=Congee%Village+Manhattan,,"718-888-9799, (212) 941-1818"
,Brickhouse Tavern,Virginia Beach,Eastern Time (ET),10:27:34 PM,https://www.google.com/search?q=Brickhouse%Tavern+Virginia%Beach,,"(757) 495-1628, 757-495-1628"
,Pho Saigon,Richmond,Eastern Time (ET),10:27:34 PM,https://www.google.com/search?q=Pho%Saigon+Richmond,,"(281) 506-8768, (281) 302-5728, 1349763510, 1248495986, (346) 219-0863, 7472115722, 6319223205, 2995305335"
,Bailey’s Bar & Grille,Philadelphia,Eastern Time (ET),10:27:34 PM,https://www.google.com/search?q=Bailey’s%Bar%&%Grille+Philadelphia,,"2355968575, 8670436804, 1567356387, 4279177742"
,craving crab,Tulsa,Central Time (CT),9:27:34 PM,https://www.google.com/search?q=craving%crab+Tulsa,,(918) 505-5900
,Lena y Carbon,North Jersey,Eastern Time (ET),10:27:34 PM,https://www.google.com/search?q=Lena%y%Carbon+North%Jersey,,"1226336037, 1219721693, 2355944740, (973) 341-3240, 4510577200, 7924571920"
,Noches de Colombia,Central Jersey,Eastern Time (ET),10:27:34 PM,https://www.google.com/search?q=Noches%de%Colombia+Central%Jersey,,"(201) 222-2617, 973-620-9135"
,Mi Ranchito Mexican Bar & Grill,Inland Empire,Pacific Time (PT),7:27:34 PM,https://www.google.com/search?q=Mi%Ranchito%Mexican%Bar%&%Grill+Inland%Empire,,"1000751443, 9438441147, 1326328731, 9848029439, 1226128549, 8364268962"
,Avocado’s Mexican Restaurant,Bellevue,Pacific Time (PT),7:27:34 PM,https://www.google.com/search?q=Avocado’s%Mexican%Restaurant+Bellevue,,"(718) 285-4099, 425-322-5690"
,The Over/Under Bar & Grill,St. Louis,Central Time (CT),9:27:34 PM,https://www.google.com/search?q=The%Over/Under%Bar%&%Grill+St.%Louis,,"5103689660, 3967354685"
,Le Peep,Tampa,Eastern Time (ET),10:27:34 PM,https://www.google.com/search?q=Le%Peep+Tampa,,"1000500094, 813-475-6725, 1939137526, (813) 475-6725, 1939137556"
,Shalimar Restaurant,Detroit,Eastern Time (ET),10:27:34 PM,https://www.google.com/search?q=Shalimar%Restaurant+Detroit,,"5113012902, 2020184858, 6988502867"
,Old Shawnee Pizza,Kansas City,Central Time (CT),9:27:34 PM,https://www.google.com/search?q=Old%Shawnee%Pizza+Kansas%City,,"3066246798, 913-254-1234, 6658492425, 1248663886, 6879535791, (913) 631-5716, (913) 406-0929, (913) 254-1234"
,Babbo Italian Eatery,Phoenix,"Mountain Standard Time (MST), no DST",8:27:34 PM,https://www.google.com/search?q=Babbo%Italian%Eatery+Phoenix,,"602.279.1500, 480.291.5050, (602) 279-1500, 480-354-2322, 480-354-3703"
,Honey pig cafe,Denver/Boulder,Mountain Time (MT),8:27:34 PM,https://www.google.com/search?q=Honey%pig%cafe+Denver/Boulder,,"1000891026, (720) 908-9999, 3969228061, 1053642524, 3828078746, 720-908-9999"
,The Old Spaghetti Factory,Wichita,Central Time (CT),9:27:34 PM,https://www.google.com/search?q=The%Old%Spaghetti%Factory+Wichita,,"158779.6736, (316) 633-4365, 228985.1722"
,Jamerican Bar And Grill,Atlanta,Eastern Time (ET),10:27:34 PM,https://www.google.com/search?q=Jamerican%Bar%And%Grill+Atlanta,,"1000635952, (470) 355-0904"
,Cafe Bernardo,Sacramento,Pacific Time (PT),7:27:34 PM,https://www.google.com/search?q=Cafe%Bernardo+Sacramento,,"(916) 930-9191, (916) 922-2870, (916) 237-5925"
,BurgerIM,"Washington, D.C",Eastern Time (ET),10:27:34 PM,"https://www.google.com/search?q=BurgerIM+Washington,%D.C",,"1603569957, (202) 758-3557, 1000638281, 201-771-7300, 202-758-3557, 6780463209"
,Legends Tavern and Grille,Palm Beach,Eastern Time (ET),10:27:34 PM,https://www.google.com/search?q=Legends%Tavern%and%Grille+Palm%Beach,,"1348399199, 6419491689, 6240603173, 1440919288, 4814078140"
,Da Vinci,"Bloomington, IN",Eastern Time (ET),10:27:34 PM,"https://www.google.com/search?q=Da%Vinci+Bloomington,%IN",,(812) 822-0143
,TACOS AND BEER MI LINDO MEXICO,Inland Empire,Pacific Time (PT),7:27:34 PM,https://www.google.com/search?q=TACOS%AND%BEER%MI%LINDO%MEXICO+Inland%Empire,,"7123415338, 1666026614"
,Coletta's Italian Restaurant,Memphis,Central Time (CT),9:27:34 PM,https://www.google.com/search?q=Coletta's%Italian%Restaurant+Memphis,,"(901) 383-1122, (901) 948-7652"
,Aspen Creek Grill,Tyler/Longview,Central Time (CT),9:27:34 PM,https://www.google.com/search?q=Aspen%Creek%Grill+Tyler/Longview,,(903) 630-8370
,Copper Canyon Grill,"Washington, D.C",Eastern Time (ET),10:27:34 PM,"https://www.google.com/search?q=Copper%Canyon%Grill+Washington,%D.C",,(301) 589-1330
,Cajun Steamer Bar & Grill,Nashville,Central Time (CT),9:27:34 PM,https://www.google.com/search?q=Cajun%Steamer%Bar%&%Grill+Nashville,,Not Found
,Good Stuff Restaurants,Los Angeles,Pacific Time (PT),7:27:34 PM,https://www.google.com/search?q=Good%Stuff%Restaurants+Los%Angeles,,"3842779302, 310-477-9011, 2689731930, 7511312582"
,Dirty Frank's Hot Dog Palace,Columbus,Eastern Time (ET),10:27:34 PM,https://www.google.com/search?q=Dirty%Frank's%Hot%Dog%Palace+Columbus,,(614) 824-4673
,Whitmans,Manhattan,Eastern Time (ET),10:27:34 PM,https://www.google.com/search?q=Whitmans+Manhattan,,"5332235676, 8938953042"
,Brown Butter,Brooklyn,Eastern Time (ET),10:27:34 PM,https://www.google.com/search?q=Brown%Butter+Brooklyn,,(347) 683-2116
,Galata Bistro,Peninsula,Pacific Time (PT),7:27:34 PM,https://www.google.com/search?q=Galata%Bistro+Peninsula,,"(862) 264-2000, 212 931 2888, (973) 563-8972"
,La Tapatia,Minneapolis,Central Time (CT),9:27:34 PM,https://www.google.com/search?q=La%Tapatia+Minneapolis,,(651) 253-6175
,The Rolling Rooster,Austin,Central Time (CT),9:27:34 PM,https://www.google.com/search?q=The%Rolling%Rooster+Austin,,"(512) 547-4444, 512-547-4444, 8148735403, 5027076114, 2991145368, 4169290506, 9434023114, 2707459589, 1661440737"
,Aplos,Jackson,Central Time (CT),9:27:34 PM,https://www.google.com/search?q=Aplos+Jackson,,(601) 714-8989
,Kobe Teppan & Sushi,San Antonio,Central Time (CT),9:27:34 PM,https://www.google.com/search?q=Kobe%Teppan%&%Sushi+San%Antonio,,"3586991409, 2688315515, 8772838036, 1102661740, 1402408563"
,Esther's Cajun Cafe & Soul Food,Houston,Central Time (CT),9:27:34 PM,https://www.google.com/search?q=Esther's%Cajun%Cafe%&%Soul%Food+Houston,,"1007067158, 1041253226, 8572554207, 1325970796, (713) 699-1212"
,Señor Ramon Taqueria,Northern Virginia,Eastern Time (ET),10:27:34 PM,https://www.google.com/search?q=Señor%Ramon%Taqueria+Northern%Virginia,,"1262387906, 5508125031, 3636902361, 7884143580"
,The Catch,Fort Worth,Central Time (CT),9:27:34 PM,https://www.google.com/search?q=The%Catch+Fort%Worth,,"1473027269, 1826968112, 7065861330, 1000696248, 1039681539"
,Cancun Mexican Restaurant,Cincinnati,Eastern Time (ET),10:27:34 PM,https://www.google.com/search?q=Cancun%Mexican%Restaurant+Cincinnati,,"7919662099, 8362620529, (513) 245-1444, 1300174633, (513) 574-1639, (513) 347-6800, 7339937985, (513) 574-0357, 1832555106"
,Rudy's Pub & Grill,Raleigh,Eastern Time (ET),10:27:34 PM,https://www.google.com/search?q=Rudy's%Pub%&%Grill+Raleigh,,"4280948811, 7053023522, 1478935672, 7108089846"
,Tastee Spoon,Atlanta,Eastern Time (ET),10:27:34 PM,https://www.google.com/search?q=Tastee%Spoon+Atlanta,,(844) 827-8331
,Pizza Nova,San Diego,Pacific Time (PT),7:27:34 PM,https://www.google.com/search?q=Pizza%Nova+San%Diego,,"619-226-0268, (619) 226-0268"
,Wing Dome,Seattle,Pacific Time (PT),7:27:34 PM,https://www.google.com/search?q=Wing%Dome+Seattle,,"4366421901, 4918324626, 1138570956, 1306527335"
,Sidelines Grille,Atlanta,Eastern Time (ET),10:27:34 PM,https://www.google.com/search?q=Sidelines%Grille+Atlanta,,"(678) 741-7735, (770) 384-8244, (770) 213-7976"
,Limon,San Francisco,Pacific Time (PT),7:27:34 PM,https://www.google.com/search?q=Limon+San%Francisco,,"8945928811, 1307169942, 5987086308"
,The Juicy Seafood,"Columbus, GA",Eastern Time (ET),10:27:34 PM,"https://www.google.com/search?q=The%Juicy%Seafood+Columbus,%GA",,"706-576-2599, (706) 221-4020, (706) 576-2599"
,Koreatown Pizza Company,Orange County,Pacific Time (PT),7:27:34 PM,https://www.google.com/search?q=Koreatown%Pizza%Company+Orange%County,,"213-738-0077, 714-735-9016, (714) 735-9016"
,Muldoon's of Carmel,Indianapolis,Eastern Time (ET),10:27:34 PM,https://www.google.com/search?q=Muldoon's%of%Carmel+Indianapolis,,"317.571.1116, 317-571-1319, 317-571-1116, (317) 571-1116"
,Mezcal Grill,Sacramento,Pacific Time (PT),7:27:34 PM,https://www.google.com/search?q=Mezcal%Grill+Sacramento,,"916-646-4825, 1200519329, 5312498103, 3300644114"
,La Preña,"San Juan, PR","Atlantic Standard Time (AST), no DST",10:27:34 PM,"https://www.google.com/search?q=La%Preña+San%Juan,%PR",,"787-665-5270, (787) 679-1881"
,Lena Y Carbon,North Jersey,Eastern Time (ET),10:27:34 PM,https://www.google.com/search?q=Lena%Y%Carbon+North%Jersey,,"1226336037, 1219721693, 2355944740, (973) 341-3240, 4510577200, 7924571920"
,Cocina 35,San Diego,Pacific Time (PT),7:27:34 PM,https://www.google.com/search?q=Cocina%35+San%Diego,,"5504402603, 8785049532, 6750898730"
,Kenny's Burger Joint,Dallas,Central Time (CT),9:27:34 PM,https://www.google.com/search?q=Kenny's%Burger%Joint+Dallas,,"(972) 392-9663, (972) 378-0999"
,R&R Extreme Wings South LLC,Indianapolis,Eastern Time (ET),10:27:34 PM,https://www.google.com/search?q=R&R%Extreme%Wings%South%LLC+Indianapolis,,"2023122111, 1648708884"
,Northern Tap House,Minneapolis,Central Time (CT),9:27:34 PM,https://www.google.com/search?q=Northern%Tap%House+Minneapolis,,"5639076395, 4277137032"
,El Tapatio,Sacramento,Pacific Time (PT),7:27:34 PM,https://www.google.com/search?q=El%Tapatio+Sacramento,,"(916) 967-2900, 1594407031, 9641146637, 4507168104, 2822699499"
,bopNgrill,Chicago,Central Time (CT),9:27:34 PM,https://www.google.com/search?q=bopNgrill+Chicago,,"1112913528, 1720753729, 8620974458, 7726976330, 1000637609, (773) 799-8868"
,Beaumont Bakery & Cafe,Salt Lake City,Mountain Time (MT),8:27:34 PM,https://www.google.com/search?q=Beaumont%Bakery%&%Cafe+Salt%Lake%City,,"(801) 676-9340, 555 555 5555"
,BurgerFi,"San Juan, PR","Atlantic Standard Time (AST), no DST",10:27:34 PM,"https://www.google.com/search?q=BurgerFi+San%Juan,%PR",,"787-957-6018, (787) 957-6018"
,Tequila Mexican Grill & Bar (Richmond),Lancaster,Eastern Time (ET),10:27:34 PM,https://www.google.com/search?q=Tequila%Mexican%Grill%&%Bar%(Richmond)+Lancaster,,"212 463 0535, 8848300029, (717) 984-6014, 8400399871, 5655321399"
,RAMIREZ MEXICAN RESTAURANT,Shreveport,Central Time (CT),9:27:34 PM,https://www.google.com/search?q=RAMIREZ%MEXICAN%RESTAURANT+Shreveport,,(318) 754-4581
,Comella's,Boston,Eastern Time (ET),10:27:34 PM,https://www.google.com/search?q=Comella's+Boston,,"(617) 327-8600, (617) 567-6373"
,Ben's Chili Bowl,"Washington, D.C",Eastern Time (ET),10:27:34 PM,"https://www.google.com/search?q=Ben's%Chili%Bowl+Washington,%D.C",,"0829386561, 1450925584, 4211212130"
,Station1,Cincinnati,Eastern Time (ET),10:27:34 PM,https://www.google.com/search?q=Station1+Cincinnati,,Not Found
,El Jarrito Mexican Grill,Shreveport,Central Time (CT),9:27:34 PM,https://www.google.com/search?q=El%Jarrito%Mexican%Grill+Shreveport,,"(318) 746-6720, 318-251-0600, 7852899600, 1000647823"
,Holder's Country Inn,South Bay,Pacific Time (PT),7:27:34 PM,https://www.google.com/search?q=Holder's%Country%Inn+South%Bay,,"(408)244-2798, (408) 378-6022"
,Salt & Lime Cabo Grill,Raleigh,Eastern Time (ET),10:27:34 PM,https://www.google.com/search?q=Salt%&%Lime%Cabo%Grill+Raleigh,,"1718301443, 9615562045, 7045893000, 9383537031, 1101126694, 1236141849, 731-050-5687, 0841858295, 1562565768, 1626397392"
,Los Rancheros,"Jacksonville, IL",Central Time (CT),9:27:34 PM,"https://www.google.com/search?q=Los%Rancheros+Jacksonville,%IL",,"1000755987, (217) 243-5612"
,La Hacienda Ranch,Dallas,Central Time (CT),9:27:34 PM,https://www.google.com/search?q=La%Hacienda%Ranch+Dallas,,"972-248-2424, (972) 248-2424"
,Chubby's Tacos,Raleigh,Eastern Time (ET),10:27:34 PM,https://www.google.com/search?q=Chubby's%Tacos+Raleigh,,"(919) 781-4480, (919) 341-4005"
,Waffles Incaffeinated,Pittsburgh,Eastern Time (ET),10:27:34 PM,https://www.google.com/search?q=Waffles%Incaffeinated+Pittsburgh,,"2645965137, 1104005062, 412-290-7801, 9175318713, 1642526726, 9028911019, 1204630539"
,"We, The Pizza","Washington, D.C",Eastern Time (ET),10:27:34 PM,"https://www.google.com/search?q=We,%The%Pizza+Washington,%D.C",,"(202) 544-4008, (202) 891-7992, 202.543.8222"
,Bobby Salazar's Taqueria,Fresno,Pacific Time (PT),7:27:34 PM,https://www.google.com/search?q=Bobby%Salazar's%Taqueria+Fresno,,"1033049639, 1372224133, 3234040767, 9706273581, 5005798101"
,Blue Wolf Tavern,Youngstown,Eastern Time (ET),10:27:34 PM,https://www.google.com/search?q=Blue%Wolf%Tavern+Youngstown,,(330) 726-1736
,Cafe Intermezzo,Nashville,Central Time (CT),9:27:34 PM,https://www.google.com/search?q=Cafe%Intermezzo+Nashville,,(615) 840-7933
,The Grain Cafe,Los Angeles,Pacific Time (PT),7:27:34 PM,https://www.google.com/search?q=The%Grain%Cafe+Los%Angeles,,"9023210032, (323) 931-4034, (323) 796-2348, (310) 876-0180"
,Redbones,Boston,Eastern Time (ET),10:27:34 PM,https://www.google.com/search?q=Redbones+Boston,,(617) 628-2200
,Yamitsuki Ramen,Philadelphia,Eastern Time (ET),10:27:34 PM,https://www.google.com/search?q=Yamitsuki%Ramen+Philadelphia,,"8130984169, 181201-1430, (215) 629-3888, 0721181415"
,Ichiban Chinese & Japanese Restaurant,Hartford,Eastern Time (ET),10:27:34 PM,https://www.google.com/search?q=Ichiban%Chinese%&%Japanese%Restaurant+Hartford,,"631-928-9222, 5256184550, 3517991091, 5739704164"
,Sultan's Kebab,East Bay,Pacific Time (PT),7:27:34 PM,https://www.google.com/search?q=Sultan's%Kebab+East%Bay,,"1000395988, (925) 846-2511"
,Blended Bistro & Boba,Orlando,Eastern Time (ET),10:27:34 PM,https://www.google.com/search?q=Blended%Bistro%&%Boba+Orlando,,"1774598241, 2492647238, 5329925996, 7364415688, 1710286501, (551) 799-0916"
,Boise Fry Company,Boise,Mountain Time (MT),8:27:34 PM,https://www.google.com/search?q=Boise%Fry%Company+Boise,,"9041706629, 1170378046, 1035792004, 9696854825, 6059541979, 1196796729"
,Fuoco Pizzeria Napoletana,Orange County,Pacific Time (PT),7:27:34 PM,https://www.google.com/search?q=Fuoco%Pizzeria%Napoletana+Orange%County,,(714) 626-0727
,El Rancherito,"Mt. Vernon, IL",Central Time (CT),9:27:34 PM,"https://www.google.com/search?q=El%Rancherito+Mt.%Vernon,%IL",,"618-244-6121, 1015833955, (618) 244-6121, 618-244-9931, 1015023758, 2703787653"
,My Way Tavern,Raleigh,Eastern Time (ET),10:27:34 PM,https://www.google.com/search?q=My%Way%Tavern+Raleigh,,(919) 900-8273
,Cornerstone Cafe & Bar,Sacramento,Pacific Time (PT),7:27:34 PM,https://www.google.com/search?q=Cornerstone%Cafe%&%Bar+Sacramento,,"7971264805, 1219069084, 6243386279, 1493431999, (607) 467-1111"
,Koon Thai Kitchen,San Diego,Pacific Time (PT),7:27:34 PM,https://www.google.com/search?q=Koon%Thai%Kitchen+San%Diego,,(858) 514-8111
,Andale 2 Mexican Restaurant and Bar,Buffalo,Eastern Time (ET),10:27:34 PM,https://www.google.com/search?q=Andale%2%Mexican%Restaurant%and%Bar+Buffalo,,"(716) 671-2365, (716) 325-7825, 1000830293, (716)-276-8456, (919) 221-9873"
,Palace Korean Bar & Grill,Bellevue,Pacific Time (PT),7:27:34 PM,https://www.google.com/search?q=Palace%Korean%Bar%&%Grill+Bellevue,,"253-529-2242, (253) 581-0880, 206-242-4875, (425) 957-3522, (253) 529-2242"
,Mark's Jamaican Bar & Grill,Orlando,Eastern Time (ET),10:27:34 PM,https://www.google.com/search?q=Mark's%Jamaican%Bar%&%Grill+Orlando,,"1581193816, 0010005258, 3625063809, 8029903333, (732) 455-3210, (407) 636-9290, 3204525220"
,Kajiken,Peninsula,Pacific Time (PT),7:27:34 PM,https://www.google.com/search?q=Kajiken+Peninsula,,Not Found
,Brewbakers Bar and Grill,Kansas City,Central Time (CT),9:27:34 PM,https://www.google.com/search?q=Brewbakers%Bar%and%Grill+Kansas%City,,(816) 348-2337
,Mi Ranchito,North Bay,Pacific Time (PT),7:27:34 PM,https://www.google.com/search?q=Mi%Ranchito+North%Bay,,"9142825166, (707) 665-0694, 8982231954, 1543106820, (510)843-5662"
,Campisi's,Fort Worth,Central Time (CT),9:27:34 PM,https://www.google.com/search?q=Campisi's+Fort%Worth,,(817) 916-4561
,Glory Bound Gyro Co.,"Hattiesburg, MS",Central Time (CT),9:27:34 PM,"https://www.google.com/search?q=Glory%Bound%Gyro%Co.+Hattiesburg,%MS",,"2419596571, (228) 334-5708, (601) 582-8252, 601-582-8252"
,Tandoori Pizza,Peninsula,Pacific Time (PT),7:27:34 PM,https://www.google.com/search?q=Tandoori%Pizza+Peninsula,,(347) 426-4012
,Carsonie's Stromboli & Pizza Kitchen,Columbus,Eastern Time (ET),10:27:34 PM,https://www.google.com/search?q=Carsonie's%Stromboli%&%Pizza%Kitchen+Columbus,,"6062719736, 9565828420"
,Mio's Pizzeria,Cincinnati,Eastern Time (ET),10:27:34 PM,https://www.google.com/search?q=Mio's%Pizzeria+Cincinnati,,"6392698871, 1180357456, 1598977557, 1560359067"
,Nitty Gritty,Madison,Central Time (CT),9:27:34 PM,https://www.google.com/search?q=Nitty%Gritty+Madison,,(608) 251-2521
,Don Tequila,Cleveland,Eastern Time (ET),10:27:34 PM,https://www.google.com/search?q=Don%Tequila+Cleveland,,"7973132806, (614) 523-2604, 3061562314, (440) 205-1688, 9443226007"
,KKatie's Burger Bar,"Cape Cod, MA",Eastern Time (ET),10:27:34 PM,"https://www.google.com/search?q=KKatie's%Burger%Bar+Cape%Cod,%MA",,"(508) 771-4282, 7303835100, 508-419-7381, (774) 552-2951, (508) 775-7982"
,Totopo Mexican Kitchen and Bar,Pittsburgh,Eastern Time (ET),10:27:34 PM,https://www.google.com/search?q=Totopo%Mexican%Kitchen%and%Bar+Pittsburgh,,(412) 668-0773
,Butcher & Sprout,Cleveland,Eastern Time (ET),10:27:34 PM,https://www.google.com/search?q=Butcher%&%Sprout+Cleveland,,"3379205069, 0745069563, 1676157118, 1384531931, 1982721122"
,the juicy seafood,Jackson,Central Time (CT),9:27:34 PM,https://www.google.com/search?q=the%juicy%seafood+Jackson,,"5411870025, 6877715537, 5707825330, 601-665-4199, 1151475460"
,Mamacita's Restaurant & Cantina,San Antonio,Central Time (CT),9:27:34 PM,https://www.google.com/search?q=Mamacita's%Restaurant%&%Cantina+San%Antonio,,"9598673180, 3557870357, 7355808379, 1780307609"
,Red Elephant Pizza & Grill,Tallahassee,Eastern Time (ET),10:27:34 PM,https://www.google.com/search?q=Red%Elephant%Pizza%&%Grill+Tallahassee,,"1285678000, 1598732900, 053-0100007"
,Los Taquitos,Phoenix,"Mountain Standard Time (MST), no DST",8:27:34 PM,https://www.google.com/search?q=Los%Taquitos+Phoenix,,"8940030361, 6157588545, 4431562284, 1300766505"
,Kneads Bakeshop & Cafe,Baltimore,Eastern Time (ET),10:27:34 PM,https://www.google.com/search?q=Kneads%Bakeshop%&%Cafe+Baltimore,,(410) 220-0907
,Black Angus Steakhouse,Spokane,Pacific Time (PT),7:27:34 PM,https://www.google.com/search?q=Black%Angus%Steakhouse+Spokane,,"(509) 927-1177, 509-927-1177"
,Fuddruckers,Virginia Beach,Eastern Time (ET),10:27:34 PM,https://www.google.com/search?q=Fuddruckers+Virginia%Beach,,"2016062215, 3407180851, (703) 724-0990, 2016081117"
,Little India Restaurant & Bar,Denver/Boulder,Mountain Time (MT),8:27:34 PM,https://www.google.com/search?q=Little%India%Restaurant%&%Bar+Denver/Boulder,,"1652920434, 5951601219, 7629659321, 1765216525, 9235610580"
,Wild Wing Cafe,Virginia Beach,Eastern Time (ET),10:27:34 PM,https://www.google.com/search?q=Wild%Wing%Cafe+Virginia%Beach,,(757) 382-9464
,Shoney's Restaurant,"Vidalia/Lyons, GA",Eastern Time (ET),10:27:34 PM,"https://www.google.com/search?q=Shoney's%Restaurant+Vidalia/Lyons,%GA",,"1000637739, (912) 537-0922"
